Designator,Mid X,Mid Y,Rotation,Layer
A1,81.3528,-55.8984,0.0,top
A2,104.45,-56.0,0.0,top
A3,138.697876,-55.910678,0.0,top
A4,161.915764,-55.90993,0.0,top
B1,88.756307,-62.052271,90.0,top
B2,111.956307,-62.049032,90.0,top
B3,146.194,-61.9468,90.0,top
B4,169.3831,-62.0616,90.0,top
C1,88.745142,-75.747875,90.0,top
C2,111.9404,-75.55,90.0,top
C3,146.23219,-75.461648,90.0,top
C4,169.418845,-75.463505,90.0,top
D1,81.2542,-81.9271,0.0,top
D2,104.483978,-81.789802,180.0,top
D3,138.7645,-81.6,0.0,top
D4,161.95,-81.7,0.0,top
E1,73.8,-75.55,90.0,top
E2,97.0,-75.5494,90.0,top
E3,131.247454,-75.463505,90.0,top
E4,154.445,-75.4556,90.0,top
F1,73.8,-62.05,90.0,top
F2,96.9697,-62.0369,90.0,top
F3,131.2249,-61.9588,90.0,top
F4,154.4517,-61.9748,90.0,top
G1,81.2825,-68.8066,0.0,top
G2,104.478395,-68.805582,180.0,top
G3,138.72167,-68.709373,0.0,top
G4,161.927242,-68.717769,180.0,top
J1,89.2,-98.4276,90.0,top
J2,108.0,-98.6276,90.0,top
J3,135.8,-98.6276,90.0,top
J4,154.8,-98.6276,90.0,top
J5,121.8,-98.7,90.0,top
P1,121.8145,-62.15,90.0,top
P2,121.8145,-75.55,90.0,top
